contrato,status,data_vigencia,data_checagem,verificado,dias_atraso,parcela_atual,valor_parcela,vencimento_mes_atual,data_para_checar,dias_desde_vencimento,d3_cai_proximo_mes,pode_checar,deve_checar_hoje,motivo
2283557000,Em dia,2025-01-28,2025-09-05,False,0,8,57.8,2025-12-28,2025-12-31,,False,False,False,D+3 ainda não atingido (dias desde vencimento: None)
2502889000,Cancelado por Inadimplência,2025-07-04,2025-10-08,True,0,1,57.8,2025-12-04,2025-12-07,,False,True,False,Status: Cancelado por Inadimplência
2501686000,Cancelado por Inadimplência,2025-07-03,2025-10-08,True,0,1,115.6,2025-12-03,2025-12-06,,False,True,False,Status: Cancelado por Inadimplência
2423998000,Cancelado por Inadimplência,2025-04-24,2025-07-31,True,0,1,94.52,2025-12-24,2025-12-27,,False,False,False,Status: Cancelado por Inadimplência
2180062000,Cancelado por Inadimplência,2024-07-25,2025-05-22,True,0,7,94.52,2025-12-25,2025-12-28,,False,False,False,Status: Cancelado por Inadimplência
2353089000,Cancelado por Inadimplência,2025-02-10,2025-06-11,True,0,2,149.4,2025-12-10,2025-12-13,,False,False,False,Status: Cancelado por Inadimplência
2190541000,Cancelado por Inadimplência,2024-08-23,2025-06-25,True,0,8,86.7,2025-12-23,2025-12-26,,False,False,False,Status: Cancelado por Inadimplência
2357275000,Cancelado por Inadimplência,2025-02-14,2025-06-18,True,0,2,249.8,2025-12-14,2025-12-17,,False,False,False,Status: Cancelado por Inadimplência
2388706000,Cancelado por Inadimplência,2025-03-21,2025-07-31,True,0,2,57.8,2025-12-21,2025-12-24,,False,False,False,Status: Cancelado por Inadimplência
1984160000,Cancelado por Inadimplência,2023-09-13,2025-04-17,True,0,18,69.92,2025-12-13,2025-12-16,,False,False,False,Status: Cancelado por Inadimplência
2284239000,Cancelado por Inadimplência,2025-01-28,2025-06-14,True,0,2,57.8,2025-12-28,2025-12-31,,False,False,False,Status: Cancelado por Inadimplência
2229908000,Cancelado por Inadimplência,2024-10-10,2025-09-15,True,0,9,189.04,2025-12-10,2025-12-13,,False,False,False,Status: Cancelado por Inadimplência
2058292000,Cancelado por Inadimplência,2024-02-27,2025-04-09,True,0,11,86.7,2025-12-27,2025-12-30,,False,False,False,Status: Cancelado por Inadimplência
2386026000,Cancelado por Inadimplência,2025-03-19,2025-06-24,True,0,1,57.8,2025-12-19,2025-12-22,,False,False,False,Status: Cancelado por Inadimplência
2498703000,Cancelado por Inadimplência,2025-07-01,2025-10-04,True,0,1,141.78,2025-12-01,2025-12-04,,False,True,False,Status: Cancelado por Inadimplência
2363885000,Cancelado por Inadimplência,2025-02-24,2025-06-26,True,0,2,220.95,2025-12-24,2025-12-27,,False,False,False,Status: Cancelado por Inadimplência
2523538000,Em dia,2025-07-28,2025-08-31,False,0,2,174.3,2025-12-28,2025-12-31,,False,False,False,D+3 ainda não atingido (dias desde vencimento: None)
2169693000,Cancelado por Inadimplência,2024-06-25,2025-05-29,True,0,9,86.7,2025-12-25,2025-12-28,,False,False,False,Status: Cancelado por Inadimplência
1965673000,Cancelado por Inadimplência,2023-08-10,2025-07-12,True,0,21,134.94,2025-12-10,2025-12-13,,False,False,False,Status: Cancelado por Inadimplência
2393569000,Cancelado por Inadimplência,2025-03-27,2025-07-03,True,0,1,57.8,2025-12-27,2025-12-30,,False,False,False,Status: Cancelado por Inadimplência
2464171000,Cancelado por Inadimplência,2025-05-26,2025-08-28,True,0,1,211.65,2025-12-26,2025-12-29,,False,False,False,Status: Cancelado por Inadimplência
2461888000,Cancelado por Inadimplência,2025-05-23,2025-08-27,True,0,1,57.8,2025-12-23,2025-12-26,,False,False,False,Status: Cancelado por Inadimplência
2358700000,Cancelado por Inadimplência,2025-02-17,2025-06-19,True,0,2,220.95,2025-12-17,2025-12-20,,False,False,False,Status: Cancelado por Inadimplência
2354216000,Cancelado por Inadimplência,2025-02-11,2025-06-14,True,0,2,57.8,2025-12-11,2025-12-14,,False,False,False,Status: Cancelado por Inadimplência
2256293000,Cancelado por Inadimplência,2024-12-09,2025-05-13,True,0,3,141.78,2025-12-09,2025-12-12,,False,True,False,Status: Cancelado por Inadimplência
2187886000,Cancelado por Inadimplência,2024-08-16,2025-09-17,True,0,11,115.6,2025-12-16,2025-12-19,,False,False,False,Status: Cancelado por Inadimplência
2362148000,Cancelado por Inadimplência,2025-02-21,2025-09-25,True,0,5,115.6,2025-12-21,2025-12-24,,False,False,False,Status: Cancelado por Inadimplência
2360355000,Cancelado por Inadimplência,2025-02-19,2025-06-24,True,0,2,115.6,2025-12-19,2025-12-22,,False,False,False,Status: Cancelado por Inadimplência
2464256000,Cancelado por Inadimplência,2025-05-26,2025-08-28,True,0,1,141.78,2025-12-26,2025-12-29,,False,False,False,Status: Cancelado por Inadimplência
2462221000,Cancelado por Inadimplência,2025-05-23,2025-08-27,True,0,1,86.7,2025-12-23,2025-12-26,,False,False,False,Status: Cancelado por Inadimplência
2465693000,Cancelado por Inadimplência,2025-05-27,2025-08-29,True,0,1,147.3,2025-12-27,2025-12-30,,False,False,False,Status: Cancelado por Inadimplência
2370881000,Em dia,2025-02-28,2025-08-08,False,0,6,147.3,2025-12-28,2025-12-31,,False,False,False,D+3 ainda não atingido (dias desde vencimento: None)
2427521000,Em dia,2025-04-28,2025-08-31,False,0,5,94.52,2025-12-28,2025-12-31,,False,False,False,D+3 ainda não atingido (dias desde vencimento: None)
2369946000,Cancelado por Inadimplência,2025-02-27,2025-07-31,True,0,3,94.52,2025-12-27,2025-12-30,,False,False,False,Status: Cancelado por Inadimplência
2369995000,Cancelado por Inadimplência,2025-02-27,2025-07-03,True,0,2,57.8,2025-12-27,2025-12-30,,False,False,False,Status: Cancelado por Inadimplência
2479533000,Cancelado por Inadimplência,2025-06-09,2025-09-15,True,0,1,57.8,2025-12-09,2025-12-12,,False,True,False,Status: Cancelado por Inadimplência
2360328000,Cancelado por Inadimplência,2025-02-19,2025-06-24,True,0,2,57.8,2025-12-19,2025-12-22,,False,False,False,Status: Cancelado por Inadimplência
2462245000,Cancelado por Inadimplência,2025-05-23,2025-08-27,True,0,1,57.8,2025-12-23,2025-12-26,,False,False,False,Status: Cancelado por Inadimplência
